Model,Fuel Type,Mileage,Owner,Location,Price
Force Motors Trax Cruiser (2011),DIESEL,"265,000 KM",3rd,"Khandwa Taraf Kumbhi, Khandwa","₹ 4,80,000"
Maruti Suzuki Wagon R (2006),PETROL,"29,000 KM",2nd,"Gulmohar Colony, Bhopal","₹ 1,55,000"
Maruti Suzuki 800 (2002),PETROL,19 KM,1st,"Dewas Naka, Indore","₹ 58,000"
Mahindra Scorpio (2010),DIESEL,"150,000 KM",3rd,"Chhaonl, Karera","₹ 3,50,000"
Hyundai Santro Xing (2007),PETROL,"160,000 KM",4th,"Khajrana, Indore","₹ 1,80,000"
Maruti Suzuki Zen (2005),PETROL,"8,079 KM",4th,"Rusalli, Bhopal","₹ 80,000"
Hyundai I10 (2008),PETROL,"63,000 KM",4+,"Adi Nath Vihar, Mandsaur","₹ 1,45,500"
Maruti Suzuki Baleno Rs (2007),LPG,"850,000 KM",2nd,"Badabgh, Bhopal","₹ 1,30,000"
Mahindra Tuv 300 Plus (2018),DIESEL,48000.0 KM,1st,"Narila Shankari Durgesh Vihar Colony, Bhopal","₹ 8,80,000"
Tata Indica Vista (2011),DIESEL,18 KM,3rd,"Bhainsakhedi, Sehore","₹ 1,10,000"
Maruti Suzuki Swift Dzire (2016),DIESEL,90000 KM,First,"Ranidurgawati Ward, Seoni","₹ 5,90,000"
Maruti Suzuki Alto (2002),PETROL,90000 KM,Second,"Aish Bagh Housing Board Colony, Bhopal","₹ 70,000"
Maruti Suzuki 800 (2002),CNG & HYBRIDS,40 KM,2nd,"Nishatpura, Bhopal","₹ 40,000"
Maruti Suzuki Swift (2005),PETROL,"110,000 KM",3rd,"Barkhera Pathani, Bhopal","₹ 1,85,000"
Ford Figo (2011),DIESEL,"140,000 KM",2nd,"Vijay Nagar, Jabalpur","₹ 2,40,000"
Ford Fiesta (2008),DIESEL,"80,000 KM",1st,"Durga Nagar, Vidisha","₹ 3,00,000"
Mahindra Scorpio (2015),DIESEL,"130,000 KM",2nd,"Arjun Nagar, Sidhi","₹ 7,80,000"
Mahindra Xuv500 (2018),DIESEL,"70,000 KM",1st,"Idgah Hills, Bhopal","₹ 9,80,000"
Maruti Suzuki Alto (2003),PETROL,"100,000 KM",2nd,"MPEB Colony, Makronia Buzurg","₹ 70,000"
Toyota Corolla Altis (2009),PETROL,"80,000 KM",3rd,"Idgah Hills, Bhopal","₹ 2,80,000"
Ford Ecosport (2013),DIESEL,"71,000 KM",2nd,"Vijay Nagar, Indore","₹ 5,30,000"
Ford Ecosport (2018),DIESEL,"38,000 KM",1st,"Sadar Bazar Area, Indore","₹ 7,50,000"
Maruti Suzuki 800 (1999),PETROL,"70,000 KM",3rd,"Karod Kalan, Bhopal","₹ 45,000"
Chevrolet Tavera Neo (2013),DIESEL,"120,000 KM",2nd,"Kanadiya Road, Indore","₹ 4,00,000"
Maruti Suzuki 800 (2005),CNG & HYBRIDS,"250,000 KM",4+,"Basant Vihar Colony, Sagar","₹ 40,000"
Hyundai Verna (2011),DIESEL,"44,000 KM",3rd,"Teachers Colony, Vidisha","₹ 5,50,000"
Honda Brio (2011),PETROL,47318.0 KM,1st,"Shalimar Township, Indore","₹ 3,65,000"
Chevrolet Beat (2011),DIESEL,67000.0 KM,1st,"Chinar Forune City, Bhopal","₹ 2,05,000"
Toyota Fortuner (2011),DIESEL,170000.0 KM,1st,"Bhawarkua, Indore","₹ 12,50,000"
Mahindra Scorpio (2014),DIESEL,15 KM,3rd,"Chapra, Gormi","₹ 4,75,000"
Maruti Suzuki 800 (1998),LPG,"62,000 KM",2nd,"Guru Ki Chaal, Ujjain","₹ 38,000"
Mahindra Bolero (2010),DIESEL,"96,000 KM",1st,"Sohagpur, Shahdol","₹ 3,85,000"
Maruti Suzuki Vitara Brezza (2016),DIESEL,"60,000 KM",2nd,"Navlakha, Indore","₹ 7,30,000"
Maruti Suzuki Omni (2012),LPG,300 KM,4th,"Berapura, Rajgarh Rajgarh District","₹ 1,50,000"
Mahindra Xuv500 (2018),DIESEL,"40,000 KM",1st,"BSNL Colony, Mandsaur","₹ 12,50,000"
Maruti Suzuki Alto K10 (2014),PETROL,"65,000 KM",1st,"Samdariya Green City, Jabalpur","₹ 2,50,000"
Maruti Suzuki 800 (2004),PETROL,"80,000 KM",2nd,"Barkheri, Bhopal","₹ 55,000"
Other Brands Others (2013),PETROL,"14,000 KM",1st,"Sarswati Nagar, Indore","₹ 85,000"
Chevrolet Sail (2013),DIESEL,"43,000 KM",1st,"Krishna Colony, Gwalior","₹ 2,95,000"
Maruti Suzuki 800 (2002),LPG,"30,000 KM",3rd,"Salampur, Betma","₹ 70,000"
Ashok Leyland Others (2012),DIESEL,"100,000 KM",4th,"PWD Colony, Mandla","₹ 5,20,000"
Maruti Suzuki Ertiga (2018),DIESEL,20 KM,2nd,"Khachnanaka, Hatta","₹ 7,50,000"
Ford Ecosport (2014),DIESEL,"69,000 KM",1st,"Free Ganj, Ujjain","₹ 5,51,000"
Toyota Fortuner (2015),DIESEL,121600.0 KM,1st,"Ganesh Nagar, Bhopal","₹ 15,00,000"
Renault Kwid (2017),PETROL,"15,715 KM",1st,"Aakriti Ecocity, Bhopal","₹ 3,25,000"
Maruti Suzuki Alto 800 (2019),CNG & HYBRIDS,"65,000 KM",1st,Tonk Khurd,"₹ 3,50,000"
Hyundai Accent (2004),DIESEL,"60,000 KM",2nd,"Jay Nagar, Pithampur","₹ 1,00,000"
Maruti Suzuki Swift Dzire (2013),PETROL,"35,000 KM",3rd,"MCTE, Mhow","₹ 4,00,000"
Maruti Suzuki Alto 800 (2011),PETROL,"33,000 KM",1st,"Husain Chowrah, Jabalpur","₹ 1,90,000"
Maruti Suzuki Swift Dzire (2014),DIESEL,"65,000 KM",2nd,"Hebatpura, Bhind","₹ 5,00,000"
Maruti Suzuki Ertiga (2018),DIESEL,"55,000 KM",1st,"Vijay Nagar, Indore","₹ 7,80,000"
Tata Indica (2002),DIESEL,"100,000 KM",1st,Rehli,"₹ 1,10,000"
Mahindra E2o Plus (2010),DIESEL,18 KM,3rd,"Barnagar, Badnagar","₹ 3,80,000"
Ford Figo (2012),DIESEL,"120,000 KM",3rd,"Civil Lines Colony, Baihar","₹ 2,20,000"
Honda City Zx (2007),PETROL,"150,000 KM",3rd,"Chippa Bakhal, Indore","₹ 1,20,000"
Mahindra Bolero Pik-Up (2018),DIESEL,"95,000 KM",1st,"Choukdi, Chhipabad","₹ 5,40,000"
Tata Tiago (2019),DIESEL,"33,000 KM",1st,"Teachers Colony, Neemuch","₹ 5,50,000"
Hyundai I20 (2020),DIESEL,"10,000 KM",1st,"Chamonda Nagar, Dewas","₹ 9,70,000"
Maruti Suzuki Eeco (2010),PETROL,"50,000 KM",4th,"Durga Nagar, Jabalpur","₹ 1,80,000"
Other Brands Others (2019),PETROL,"28,000 KM",1st,"AB Bypass Road, Indore","₹ 11,90,000"
